Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,3.86,57.26,0
946684823,0.00,0.00,3.86,57.26,0
946684842,22.28,0.00,3.94,57.26,0
946684863,22.40,0.00,3.95,57.26,0
946684883,22.10,0.00,3.95,57.26,0
946684903,21.98,0.00,3.95,57.26,0
946684922,21.98,0.00,3.96,57.26,0
946684942,21.99,0.00,3.96,57.26,0
946684962,21.99,0.00,3.96,57.26,0
946684983,21.98,0.00,3.96,57.26,0
946685003,21.98,0.00,3.96,57.26,0
946685022,21.98,0.00,3.96,57.58,0
946685042,22.06,0.00,3.96,57.58,0
946685062,21.83,0.00,3.97,57.58,0
946685083,22.03,0.00,3.97,57.58,0
946685103,21.89,0.00,3.97,57.58,0
946685123,22.04,0.00,3.97,57.58,0
946685142,21.83,0.00,3.97,57.58,0
946685162,21.85,0.00,3.97,57.89,0
946685182,21.86,0.00,3.97,57.89,0
946685203,21.79,0.00,3.97,57.89,0
946685223,21.47,0.00,3.97,57.89,0
946685242,21.66,0.00,3.97,57.89,0
946685262,21.58,14020.00,3.98,57.89,0
946685282,21.71,14040.00,3.98,57.89,0
946685302,21.70,14050.00,3.98,58.21,0
946685323,21.68,14040.00,3.98,58.21,0
946685343,21.69,14040.00,3.98,58.21,0
946685362,21.69,14040.00,3.98,58.21,0
946685382,21.70,14040.00,3.98,58.21,0
946685402,21.64,14040.00,3.98,58.21,0
946685423,21.65,14040.00,3.98,58.21,0
946685443,21.63,14040.00,3.98,58.53,0
946685463,21.65,14030.00,3.98,58.53,0
946685482,21.66,14040.00,3.99,58.53,0
946685502,21.66,14040.00,3.99,58.53,0
946685522,21.75,14040.00,3.99,58.53,0
946685543,21.75,14040.00,3.99,58.53,0
946685563,21.74,14040.00,3.99,58.53,0
946685582,21.75,14040.00,3.99,58.84,0
946685602,21.41,0.00,3.99,58.84,0
946685622,22.01,0.00,3.99,58.84,0
946685643,21.80,75650.00,3.99,58.84,0
946685663,21.65,76050.00,3.99,58.84,0
946685683,21.66,76240.00,3.99,58.84,0
946685702,21.65,76220.00,3.99,59.16,0
946685722,21.66,76320.00,4.00,59.16,0
946685742,21.81,76400.00,4.00,59.16,0
946685763,21.67,76470.00,4.00,59.16,0
946685783,21.67,76520.00,4.00,59.16,0
946685802,21.79,76600.00,4.00,59.16,0
946685822,21.77,76690.00,4.00,59.48,0
946685842,21.76,76840.00,4.00,59.48,0
946685863,21.75,76890.00,4.00,59.48,0
946685883,21.74,76910.00,4.00,59.48,0
946685903,21.73,76940.00,4.00,59.48,0
946685922,21.91,77040.00,4.00,59.48,0
946685942,21.68,77110.00,4.00,59.79,0
946685962,21.68,77160.00,4.00,59.79,0
946685983,21.69,77250.00,4.01,59.79,0
946686003,21.68,0.00,4.01,59.79,0
946686022,21.48,0.00,4.01,59.79,0
