Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,3.86,56.00,0
946684823,20.28,0.00,3.94,56.00,0
946684843,20.57,0.00,3.94,56.00,0
946684862,21.13,0.00,3.95,56.00,0
946684882,21.25,0.00,3.95,56.00,0
946684903,21.26,0.00,3.95,56.00,0
946684923,21.26,0.00,3.95,56.00,0
946684943,21.27,0.00,3.95,56.00,0
946684962,21.27,0.00,3.95,56.00,0
946684982,21.19,0.00,3.96,56.31,0
946685002,21.34,0.00,3.96,56.31,0
946685023,21.11,0.00,3.96,56.31,0
946685043,21.43,0.00,3.96,56.31,0
946685062,21.22,0.00,3.96,56.31,0
946685082,21.18,0.00,3.96,56.31,0
946685102,21.20,0.00,3.96,56.31,0
946685123,21.28,0.00,3.96,56.31,0
946685143,21.28,0.00,3.96,56.63,0
946685162,21.27,0.00,3.97,56.63,0
946685182,21.06,0.00,3.97,56.63,0
946685202,21.26,15540.00,3.97,56.63,0
946685223,21.28,15630.00,3.97,56.63,0
946685243,21.28,15660.00,3.97,56.63,0
946685262,21.28,15660.00,3.97,56.63,0
946685282,21.29,15660.00,3.97,56.95,0
946685302,21.28,15670.00,3.97,56.95,0
946685323,21.45,15670.00,3.97,56.95,0
946685343,21.35,15670.00,3.97,56.95,0
946685363,21.20,15670.00,3.97,56.95,0
946685382,21.30,15670.00,3.98,56.95,0
946685402,21.17,15670.00,3.98,56.95,0
946685423,21.16,15670.00,3.98,57.26,0
946685443,21.22,15670.00,3.98,57.26,0
946685463,21.24,15670.00,3.98,57.26,0
946685482,21.24,15670.00,3.98,57.26,0
946685502,21.23,15670.00,3.98,57.26,0
946685523,21.16,15650.00,3.98,57.26,0
946685543,20.88,0.00,3.98,57.58,0
946685563,21.24,0.00,3.98,57.58,0
946685582,21.03,93540.00,3.98,57.58,0
946685602,21.21,94280.00,3.98,57.58,0
946685622,21.21,94420.00,3.99,57.58,0
946685643,21.20,94390.00,3.99,57.58,0
946685663,21.19,94610.00,3.99,57.58,0
946685682,21.05,94510.00,3.99,57.89,0
946685702,21.05,94580.00,3.99,57.89,0
946685722,21.06,94550.00,3.99,57.89,0
946685743,21.07,94460.00,3.99,57.89,0
946685763,21.08,94490.00,3.99,57.89,0
946685782,21.08,94590.00,3.99,57.89,0
946685802,21.08,94480.00,3.99,58.21,0
946685822,21.08,94470.00,3.99,58.21,0
946685843,20.94,94380.00,3.99,58.21,0
946685863,21.02,94440.00,3.99,58.21,0
946685882,21.02,94420.00,3.99,58.21,0
946685902,21.02,82250.00,3.99,58.21,0
